snt_id	snt
4.121	喺小王子嘅行星上邊
4.122	有一種好簡單嘅花
4.123	只有一層花瓣
4.124	佢哋一啲都唔亞掟
4.125	亦唔會麻煩到任何人
4.126	朝早嘅時候
4.127	佢哋會喺草叢中出現
4.128	然後到咗黃昏就慢慢凋謝
4.129	但有一日
4.130	唔知邊度飄嚟咗一粒種子
4.131	喺呢度發芽
4.132	小王子好細心咁觀察呢一棵與別不同嘅幼苗
4.133	因為佢隨時可能係一個猢猻樹嘅新品種
4.134	但呢棵幼苗好快就冇再繼續長大
4.135	反而開始準備開花
4.136	小王子望住巨型嘅花苞成長
4.137	覺得一定會開出一朵奇妙嘅花嚟
4.138	不過朵花匿埋咗喺佢綠色嘅房間入面
4.139	花咗好多好多時間去裝扮自己
4.140	佢小心翼翼咁選擇自己嘅顏色
4.141	慢條斯理咁著上新衫
4.142	逐片逐片花瓣咁整理好
4.143	佢並唔想好似罌粟花咁皺猛猛咁走出嚟
4.144	佢只係願意喺散發住令人驚豔嘅光芒之下出現
	
	
	
